GENE	EVENT	LENGTH	Huvec1_1	Huvec1_1-Q	Huvec2_1	Huvec2_1-Q	HepG2_1_1	HepG2_1_1-Q	HepG2_2_1	HepG2_2_1-Q
C2orf56	HsaALTA0001252-2/2	48	100.00	Pass	97.34	Pass	98.05	Pass	95.22	Pass
C2orf56	HsaALTA0001253-1/2	0	0.00	Pass	0.00	Pass	2.17	Pass	0.00	Pass
C2orf56	HsaALTA0001253-2/2	123	100.00	Pass	100.00	Pass	97.83	Pass	100.00	Pass
RBM5	HsaALTA0007070-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
RBM5	HsaALTA0007070-2/2	1	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
RBM5	HsaALTA0007071-1/2	0	3.23	Pass	1.52	Pass	2.95	Pass	2.38	Pass
RBM5	HsaALTA0007071-2/2	3	96.77	Pass	98.48	Pass	97.05	Pass	97.62	Pass
ARF5	HsaALTA0000590-1/2	0	0.24	Pass	0.14	Pass	0.28	Pass	0.10	Pass
ARF5	HsaALTA0000590-2/2	6	99.76	Pass	99.86	Pass	99.72	Pass	99.90	Pass
PLXND1	HsaALTA0006450-1/2	0	0.20	Pass	0.96	Pass	3.27	Pass	0.90	Pass
PLXND1	HsaALTA0006450-2/2	3	99.80	Pass	99.04	Pass	96.73	Pass	99.10	Pass
PLXND1	HsaALTA0006451-1/2	0	3.92	Pass	4.81	Pass	3.40	Pass	2.86	Pass
PLXND1	HsaALTA0006451-2/2	33	96.08	Pass	95.19	Pass	96.60	Pass	97.14	Pass
PLXND1	HsaALTA0006452-1/2	0	1.01	Pass	0.74	Pass	0.00	Pass	0.00	Pass
PLXND1	HsaALTA0006452-2/2	120	98.99	Pass	99.26	Pass	100.00	Pass	100.00	Pass
KDM1A	HsaALTA0004472-1/2	0	98.99	Pass	97.22	Pass	99.38	Pass	100.00	Pass
KDM1A	HsaALTA0004472-2/2	18	1.01	Pass	2.78	Pass	0.62	Pass	0.00	Pass
KDM1A	HsaALTA0004473-1/2	0	100.00	Pass	99.79	Pass	100.00	Pass	100.00	Pass
KDM1A	HsaALTA0004473-2/2	24	0.00	Pass	0.21	Pass	0.00	Pass	0.00	Pass
KDM1A	HsaALTA0004474-1/2	0	0.49	Pass	0.21	Pass	0.15	Pass	1.95	Pass
KDM1A	HsaALTA0004474-2/2	73	99.51	Pass	99.79	Pass	99.85	Pass	98.05	Pass
RBM6	HsaALTA0007072-1/3	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
RBM6	HsaALTA0007072-2/3	32	0.00	Pass	0.83	Pass	1.95	Pass	0.53	Pass
RBM6	HsaALTA0007072-3/3	38	100.00	Pass	99.17	Pass	98.05	Pass	99.47	Pass
RBM6	HsaALTA0007073-1/3	0	0.00	Pass	0.00	Pass	0.26	Pass	0.00	Pass
RBM6	HsaALTA0007073-2/3	4	100.00	Pass	100.00	Pass	99.74	Pass	100.00	Pass
RBM6	HsaALTA0007073-3/3	21	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
RBM6	HsaALTA0007074-1/2	0	97.75	Pass	95.71	Pass	99.39	Pass	97.45	Pass
RBM6	HsaALTA0007074-2/2	28	2.25	Pass	4.29	Pass	0.61	Pass	2.55	Pass
CCDC132	HsaALTA0001550-1/2	0	0.00	Pass	8.11	Pass	8.11	Pass	0.00	Fail
CCDC132	HsaALTA0001550-2/2	4	100.00	Pass	91.89	Pass	91.89	Pass	100.00	Fail
CCDC132	HsaALTA0001551-1/2	0	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Fail
CCDC132	HsaALTA0001551-2/2	3	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Fail
ARHGAP33	HsaALTA0000615-1/2	0	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail
ARHGAP33	HsaALTA0000615-2/2	483	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail
PDK4	HsaALTA0006166-1/2	0	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
PDK4	HsaALTA0006166-2/2	1	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
ZMYND10	HsaALTA0009723-1/2	0	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail
ZMYND10	HsaALTA0009723-2/2	4	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail
ZMYND10	HsaALTA0009724-1/2	0	100.00	Fail	100.00	Fail	33.33	Fail	100.00	Fail
ZMYND10	HsaALTA0009724-2/2	86	0.00	Fail	0.00	Fail	66.67	Fail	0.00	Fail
ABCB5	HsaALTA0000037-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ABCB5	HsaALTA0000037-2/2	4	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SLC25A13	HsaALTA0007872-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
SLC25A13	HsaALTA0007872-2/2	1	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CDC27	HsaALTA0001693-1/3	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CDC27	HsaALTA0001693-2/3	48	91.50	Pass	91.74	Pass	88.66	Pass	90.55	Pass
CDC27	HsaALTA0001693-3/3	66	8.50	Pass	8.26	Pass	11.34	Pass	9.45	Pass
DVL2	HsaALTA0002696-1/2	0	0.00	Fail	7.08	Fail	0.00	Fail	0.00	Fail
DVL2	HsaALTA0002696-2/2	18	100.00	Fail	92.92	Fail	100.00	Fail	100.00	Fail
DVL2	HsaALTA0002697-1/2	0	0.00	Pass	2.94	Pass	0.00	Fail	5.88	Fail
DVL2	HsaALTA0002697-2/2	5	100.00	Pass	97.06	Pass	100.00	Fail	94.12	Fail
CIAPIN1	HsaALTA0001878-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.31	Pass
CIAPIN1	HsaALTA0001878-2/2	21	100.00	Pass	100.00	Pass	100.00	Pass	99.69	Pass
AC004410.1	HsaALTA0000082-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
AC004410.1	HsaALTA0000082-2/2	248	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
AC004410.1	HsaALTA0000083-1/2	0	13.54	Pass	19.93	Pass	25.00	Pass	13.21	Pass
AC004410.1	HsaALTA0000083-2/2	3	86.46	Pass	80.07	Pass	75.00	Pass	86.79	Pass
COPZ2	HsaALTA0002089-1/2	0	0.00	Pass	0.00	Fail	NA	Fail	NA	Fail
COPZ2	HsaALTA0002089-2/2	6	100.00	Pass	100.00	Fail	NA	Fail	NA	Fail
COPZ2	HsaALTA0002090-1/2	0	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail
COPZ2	HsaALTA0002090-2/2	4	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail
WDR54	HsaALTA0009509-1/2	0	84.82	Pass	90.54	Pass	97.44	Pass	100.00	Pass
WDR54	HsaALTA0009509-2/2	33	15.18	Pass	9.46	Pass	2.56	Pass	0.00	Pass
WDR54	HsaALTA0009510-1/2	0	7.56	Pass	3.62	Pass	2.86	Pass	0.00	Pass
WDR54	HsaALTA0009510-2/2	22	92.44	Pass	96.38	Pass	97.14	Pass	100.00	Pass
WDR54	HsaALTA0009511-1/2	0	4.69	Pass	6.38	Pass	0.00	Pass	0.00	Pass
WDR54	HsaALTA0009511-2/2	70	95.31	Pass	93.62	Pass	100.00	Pass	100.00	Pass
WDR54	HsaALTA0009512-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
WDR54	HsaALTA0009512-2/2	128	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
WDR54	HsaALTA0009513-1/2	0	0.00	Pass	1.55	Pass	0.00	Pass	4.84	Pass
WDR54	HsaALTA0009513-2/2	5	100.00	Pass	98.45	Pass	100.00	Pass	95.16	Pass
ABCB4	HsaALTA0000036-1/2	0	NA	Fail	NA	Fail	64.80	Pass	69.59	Pass
ABCB4	HsaALTA0000036-2/2	21	NA	Fail	NA	Fail	35.20	Pass	30.41	Pass
MLL5	HsaALTA0005249-1/2	0	0.00	Fail	100.00	Fail	0.00	Fail	NA	Fail
MLL5	HsaALTA0005249-2/2	4	100.00	Fail	0.00	Fail	100.00	Fail	NA	Fail
RHBDD2	HsaALTA0007153-1/2	0	3.50	Pass	3.44	Fail	0.00	Fail	0.00	Fail
RHBDD2	HsaALTA0007153-2/2	36	96.50	Pass	96.56	Fail	100.00	Fail	100.00	Fail
IBTK	HsaALTA0004158-1/2	0	9.09	Pass	5.56	Fail	1.39	Pass	4.17	Pass
IBTK	HsaALTA0004158-2/2	45	90.91	Pass	94.44	Fail	98.61	Pass	95.83	Pass
IBTK	HsaALTA0004159-1/2	0	0.00	Pass	0.00	Pass	0.33	Pass	3.64	Pass
IBTK	HsaALTA0004159-2/2	47	100.00	Pass	100.00	Pass	99.67	Pass	96.36	Pass
IBTK	HsaALTA0004160-1/2	0	0.00	Fail	0.00	Fail	2.78	Pass	3.45	Pass
IBTK	HsaALTA0004160-2/2	25	100.00	Fail	100.00	Fail	97.22	Pass	96.55	Pass
ZNF195	HsaALTA0009753-1/2	0	20.11	Fail	33.33	Fail	NA	Fail	50.00	Fail
ZNF195	HsaALTA0009753-2/2	41	79.89	Fail	66.67	Fail	NA	Fail	50.00	Fail
MYCBP2	HsaALTA0005464-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MYCBP2	HsaALTA0005464-2/2	2	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MYCBP2	HsaALTA0005465-1/2	0	10.81	Fail	0.00	Fail	NA	Fail	NA	Fail
MYCBP2	HsaALTA0005465-2/2	57	89.19	Fail	100.00	Fail	NA	Fail	NA	Fail
MYCBP2	HsaALTA0005466-1/2	0	93.75	Fail	NA	Fail	0.00	Fail	0.00	Fail
MYCBP2	HsaALTA0005466-2/2	2	6.25	Fail	NA	Fail	100.00	Fail	100.00	Fail
MYCBP2	HsaALTA0005467-1/2	0	34.69	Fail	86.44	Fail	100.00	Fail	100.00	Fail
MYCBP2	HsaALTA0005467-2/2	24	65.31	Fail	13.56	Fail	0.00	Fail	0.00	Fail
MYCBP2	HsaALTA0005468-1/2	0	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail
MYCBP2	HsaALTA0005468-2/2	2	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail
MYCBP2	HsaALTA0005469-1/2	0	8.11	Pass	7.14	Pass	0.00	Pass	0.00	Pass
MYCBP2	HsaALTA0005469-2/2	3	91.89	Pass	92.86	Pass	100.00	Pass	100.00	Pass
ITGAL	HsaALTA0004388-1/2	0	NA	Fail	NA	Fail	100.00	Fail	0.00	Fail
ITGAL	HsaALTA0004388-2/2	3	NA	Fail	NA	Fail	0.00	Fail	100.00	Fail
PDK2	HsaALTA0006164-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
PDK2	HsaALTA0006164-2/2	155	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
ITGA3	HsaALTA0004378-1/2	0	0.93	Pass	0.74	Pass	0.00	Fail	0.00	Fail
ITGA3	HsaALTA0004378-2/2	60	99.07	Pass	99.26	Pass	100.00	Fail	100.00	Fail
ITGA3	HsaALTA0004379-1/3	0	0.00	Pass	0.00	Pass	NA	Fail	0.00	Fail
ITGA3	HsaALTA0004379-2/3	44	0.19	Pass	0.00	Pass	NA	Fail	0.00	Fail
ITGA3	HsaALTA0004379-3/3	64	99.81	Pass	100.00	Pass	NA	Fail	100.00	Fail
ITGA3	HsaALTA0004380-1/2	0	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail
ITGA3	HsaALTA0004380-2/2	6	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail
ITGA3	HsaALTA0004381-1/2	0	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail
ITGA3	HsaALTA0004381-2/2	12	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail
ITGA3	HsaALTA0004382-1/2	0	0.00	Pass	0.00	Pass	0.00	Fail	NA	Fail
ITGA3	HsaALTA0004382-2/2	21	100.00	Pass	100.00	Pass	100.00	Fail	NA	Fail
