GENE	EVENT	LENGTH	Huvec1_1	Huvec1_1-Q	Huvec2_1	Huvec2_1-Q	HepG2_1_1	HepG2_1_1-Q	HepG2_2_1	HepG2_2_1-Q
TSPAN6	HsaALTD0006854-1/2	0	98.48	Pass	100.00	Pass	97.17	Pass	94.54	Pass
TSPAN6	HsaALTD0006854-2/2	417	1.52	Pass	0.00	Pass	2.83	Pass	5.46	Pass
DPM1	HsaALTD0002019-1/2	0	71.43	Fail	NA	Fail	76.16	Pass	31.91	Fail
DPM1	HsaALTD0002019-2/2	24	28.57	Fail	NA	Fail	23.84	Pass	68.09	Fail
FGR	HsaALTD0002561-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
FGR	HsaALTD0002561-2/2	5	NA	Fail	NA	Fail	NA	Fail	NA	Fail
NFYA	HsaALTD0004302-1/2	0	4.46	Pass	6.73	Pass	0.00	Fail	33.33	Fail
NFYA	HsaALTD0004302-2/2	3	95.54	Pass	93.27	Pass	100.00	Fail	66.67	Fail
C1orf201	HsaALTD0000903-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail
C1orf201	HsaALTD0000903-2/2	35	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail
C1orf201	HsaALTD0000904-1/2	0	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
C1orf201	HsaALTD0000904-2/2	108	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
SEMA3F	HsaALTD0005758-1/2	0	94.13	Pass	98.49	Pass	82.50	Fail	76.74	Fail
SEMA3F	HsaALTD0005758-2/2	279	5.87	Pass	1.51	Pass	17.50	Fail	23.26	Fail
ANKIB1	HsaALTD0000311-1/2	0	1.39	Pass	1.87	Pass	4.07	Pass	0.00	Pass
ANKIB1	HsaALTD0000311-2/2	4	98.61	Pass	98.13	Pass	95.93	Pass	100.00	Pass
KRIT1	HsaALTD0003518-1/2	0	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
KRIT1	HsaALTD0003518-2/2	22	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
KRIT1	HsaALTD0003519-1/2	0	0.00	Fail	20.00	Fail	0.00	Pass	0.00	Pass
KRIT1	HsaALTD0003519-2/2	14	100.00	Fail	80.00	Fail	100.00	Pass	100.00	Pass
KRIT1	HsaALTD0003520-1/2	0	27.11	Fail	35.17	Fail	28.67	Fail	17.45	Fail
KRIT1	HsaALTD0003520-2/2	38	72.89	Fail	64.83	Fail	71.33	Fail	82.55	Fail
RAD52	HsaALTD0005260-1/2	0	19.20	Pass	7.90	Fail	22.73	Pass	6.23	Pass
RAD52	HsaALTD0005260-2/2	4	80.80	Pass	92.10	Fail	77.27	Pass	93.77	Pass
RAD52	HsaALTD0005261-1/2	0	90.91	Fail	88.89	Pass	89.80	Pass	90.24	Pass
