GENE	EVENT	LENGTH	Huvec1_1	Huvec1_1-Q	Huvec2_1	Huvec2_1-Q	HepG2_1_1	HepG2_1_1-Q	HepG2_2_1	HepG2_2_1-Q
RAD52	HsaALTD0005261-2/2	20	9.09	Fail	11.11	Pass	10.20	Pass	9.76	Pass
RAD52	HsaALTD0005262-1/2	0	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
RAD52	HsaALTD0005262-2/2	78	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
RAD52	HsaALTD0005263-1/2	0	88.05	Fail	100.00	Fail	80.23	Pass	91.34	Fail
RAD52	HsaALTD0005263-2/2	55	11.95	Fail	0.00	Fail	19.77	Pass	8.66	Fail
LAP3	HsaALTD0003551-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
LAP3	HsaALTD0003551-2/2	181	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
ABP1	HsaALTD0000050-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ABP1	HsaALTD0000050-2/2	236	NA	Fail	NA	Fail	NA	Fail	NA	Fail
LASP1	HsaALTD0003559-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
LASP1	HsaALTD0003559-2/2	11	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
TMEM176A	HsaALTD0006616-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TMEM176A	HsaALTD0006616-2/2	140	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TMEM176A	HsaALTD0006617-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TMEM176A	HsaALTD0006617-2/2	13	NA	Fail	NA	Fail	NA	Fail	NA	Fail
M6PR	HsaALTD0003706-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
M6PR	HsaALTD0003706-2/2	74	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
ALS2	HsaALTD0000281-1/2	0	100.00	Pass	88.89	Fail	100.00	Pass	100.00	Fail
ALS2	HsaALTD0000281-2/2	132	0.00	Pass	11.11	Fail	0.00	Pass	0.00	Fail
TFPI	HsaALTD0006476-1/2	0	0.00	Pass	0.20	Pass	0.12	Pass	0.07	Pass
TFPI	HsaALTD0006476-2/2	116	100.00	Pass	99.80	Pass	99.88	Pass	99.93	Pass
C2orf56	HsaALTD0000974-1/2	0	11.76	Fail	7.14	Fail	1.19	Pass	9.09	Pass
C2orf56	HsaALTD0000974-2/2	32	88.24	Fail	92.86	Fail	98.81	Pass	90.91	Pass
C2orf56	HsaALTD0000975-1/2	0	30.77	Fail	29.63	Fail	8.89	Pass	7.69	Pass
C2orf56	HsaALTD0000975-2/2	154	69.23	Fail	70.37	Fail	91.11	Pass	92.31	Pass
RBM5	HsaALTD0005335-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	99.53	Pass
RBM5	HsaALTD0005335-2/2	28	0.00	Pass	0.00	Pass	0.00	Pass	0.47	Pass
RBM5	HsaALTD0005336-1/2	0	0.25	Pass	0.00	Pass	0.00	Pass	0.00	Pass
RBM5	HsaALTD0005336-2/2	4	99.75	Pass	100.00	Pass	100.00	Pass	100.00	Pass
RBM5	HsaALTD0005337-1/2	0	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail
RBM5	HsaALTD0005337-2/2	92	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail
ARF5	HsaALTD0000425-1/2	0	100.00	Pass	100.00	Pass	99.54	Pass	100.00	Pass
ARF5	HsaALTD0000425-2/2	235	0.00	Pass	0.00	Pass	0.46	Pass	0.00	Pass
PLXND1	HsaALTD0004886-1/2	0	0.85	Pass	0.45	Pass	1.49	Pass	3.12	Pass
PLXND1	HsaALTD0004886-2/2	93	99.15	Pass	99.55	Pass	98.51	Pass	96.88	Pass
PLXND1	HsaALTD0004887-1/2	0	1.35	Pass	1.22	Pass	0.00	Pass	0.00	Pass
PLXND1	HsaALTD0004887-2/2	4	98.65	Pass	98.78	Pass	100.00	Pass	100.00	Pass
PLXND1	HsaALTD0004888-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
PLXND1	HsaALTD0004888-2/2	7	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CD38	HsaALTD0001271-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CD38	HsaALTD0001271-2/2	18	NA	Fail	NA	Fail	NA	Fail	NA	Fail
KDM1A	HsaALTD0003406-1/2	0	0.38	Pass	0.26	Pass	0.40	Pass	0.00	Pass
KDM1A	HsaALTD0003406-2/2	11	99.62	Pass	99.74	Pass	99.60	Pass	100.00	Pass
CAMKK1	HsaALTD0001133-1/2	0	100.00	Fail	65.35	Fail	NA	Fail	NA	Fail
CAMKK1	HsaALTD0001133-2/2	44	0.00	Fail	34.65	Fail	NA	Fail	NA	Fail
RECQL	HsaALTD0005353-1/2	0	25.00	Fail	0.00	Fail	27.59	Pass	17.65	Fail
RECQL	HsaALTD0005353-2/2	50	75.00	Fail	100.00	Fail	72.41	Pass	82.35	Fail
RECQL	HsaALTD0005354-1/2	0	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
RECQL	HsaALTD0005354-2/2	1	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
CCDC132	HsaALTD0001193-1/2	0	66.67	Fail	100.00	Fail	100.00	Pass	100.00	Pass
CCDC132	HsaALTD0001193-2/2	16	33.33	Fail	0.00	Fail	0.00	Pass	0.00	Pass
SLC22A16	HsaALTD0005960-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SLC22A16	HsaALTD0005960-2/2	58	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ZMYND10	HsaALTD0007366-1/2	0	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail
ZMYND10	HsaALTD0007366-2/2	47	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail
CDC27	HsaALTD0001296-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CDC27	HsaALTD0001296-2/2	47	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
SLC4A1	HsaALTD0006030-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SLC4A1	HsaALTD0006030-2/2	4	NA	Fail	NA	Fail	NA	Fail	NA	Fail
HCCS	HsaALTD0002973-1/3	0	9.09	Pass	2.33	Pass	0.00	Pass	0.00	Pass
HCCS	HsaALTD0002973-2/3	37	6.06	Pass	6.98	Pass	0.00	Pass	6.90	Pass
HCCS	HsaALTD0002973-3/3	95	84.85	Pass	90.70	Pass	100.00	Pass	93.10	Pass
DVL2	HsaALTD0002074-1/2	0	18.52	Pass	42.86	Fail	0.00	Fail	45.45	Fail
DVL2	HsaALTD0002074-2/2	12	81.48	Pass	57.14	Fail	100.00	Fail	54.55	Fail
DVL2	HsaALTD0002075-1/2	0	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail
DVL2	HsaALTD0002075-2/2	53	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail
UPF1	HsaALTD0007048-1/2	0	88.76	Pass	88.70	Pass	87.76	Pass	87.06	Pass
UPF1	HsaALTD0007048-2/2	33	11.24	Pass	11.30	Pass	12.24	Pass	12.94	Pass
ACSM3	HsaALTD0000124-1/2	0	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail
ACSM3	HsaALTD0000124-2/2	25	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail
AC004410.1	HsaALTD0000057-1/3	0	0.28	Pass	1.04	Pass	2.70	Pass	0.00	Pass
AC004410.1	HsaALTD0000057-2/3	21	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
AC004410.1	HsaALTD0000057-3/3	52	99.72	Pass	98.96	Pass	97.30	Pass	100.00	Pass
KIAA1539	HsaALTD0003465-1/2	0	37.78	Pass	20.00	Pass	0.00	Fail	0.00	Fail
KIAA1539	HsaALTD0003465-2/2	134	62.22	Pass	80.00	Pass	100.00	Fail	100.00	Fail
COPZ2	HsaALTD0001599-1/2	0	0.00	Pass	0.00	Pass	0.00	Fail	NA	Fail
COPZ2	HsaALTD0001599-2/2	12	100.00	Pass	100.00	Pass	100.00	Fail	NA	Fail
COPZ2	HsaALTD0001600-1/2	0	0.00	Pass	0.00	Pass	0.00	Fail	NA	Fail
COPZ2	HsaALTD0001600-2/2	4	100.00	Pass	100.00	Pass	100.00	Fail	NA	Fail
MSL3	HsaALTD0004054-1/2	0	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail
MSL3	HsaALTD0004054-2/2	85	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail
C2orf3	HsaALTD0000968-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	97.37	Pass
C2orf3	HsaALTD0000968-2/2	147	0.00	Pass	0.00	Pass	0.00	Pass	2.63	Pass
C2orf3	HsaALTD0000969-1/2	0	14.29	Fail	0.00	Fail	9.68	Pass	10.00	Fail
C2orf3	HsaALTD0000969-2/2	114	85.71	Fail	100.00	Fail	90.32	Pass	90.00	Fail
WDR54	HsaALTD0007200-1/2	0	0.00	Pass	0.00	Pass	1.67	Pass	0.00	Pass
WDR54	HsaALTD0007200-2/2	4	100.00	Pass	100.00	Pass	98.33	Pass	100.00	Pass
CROT	HsaALTD0001683-1/2	0	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
CROT	HsaALTD0001683-2/2	14	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
MLL5	HsaALTD0003949-1/2	0	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass
MLL5	HsaALTD0003949-2/2	48	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass
RHBDD2	HsaALTD0005391-1/2	0	1.04	Pass	0.44	Pass	0.37	Pass	0.00	Pass
RHBDD2	HsaALTD0005391-2/2	48	98.96	Pass	99.56	Pass	99.63	Pass	100.00	Pass
IBTK	HsaALTD0003167-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
IBTK	HsaALTD0003167-2/2	28	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
ZNF195	HsaALTD0007383-1/2	0	82.25	Fail	86.07	Fail	100.00	Fail	100.00	Fail
ZNF195	HsaALTD0007383-2/2	13	17.75	Fail	13.93	Fail	0.00	Fail	0.00	Fail
MYCBP2	HsaALTD0004105-1/2	0	43.75	Pass	58.82	Fail	50.00	Fail	50.00	Pass
MYCBP2	HsaALTD0004105-2/2	9	56.25	Pass	41.18	Fail	50.00	Fail	50.00	Pass
FBXL3	HsaALTD0002499-1/2	0	0.93	Pass	1.11	Pass	3.32	Pass	0.00	Pass
FBXL3	HsaALTD0002499-2/2	144	99.07	Pass	98.89	Pass	96.68	Pass	100.00	Pass
ITGAL	HsaALTD0003333-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ITGAL	HsaALTD0003333-2/2	11	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ITGA3	HsaALTD0003329-1/2	0	2.39	Pass	0.00	Pass	NA	Fail	0.00	Fail
ITGA3	HsaALTD0003329-2/2	53	97.61	Pass	100.00	Pass	NA	Fail	100.00	Fail
ITGA3	HsaALTD0003330-1/2	0	99.09	Pass	97.59	Pass	100.00	Fail	100.00	Fail
ITGA3	HsaALTD0003330-2/2	12	0.91	Pass	2.41	Pass	0.00	Fail	0.00	Fail
TMEM98	HsaALTD0006661-1/2	0	0.44	Pass	0.56	Pass	0.00	Pass	1.63	Pass
TMEM98	HsaALTD0006661-2/2	4	99.56	Pass	99.44	Pass	100.00	Pass	98.37	Pass
MAP3K14	HsaALTD0003746-1/2	0	100.00	Fail	100.00	Pass	88.60	Fail	100.00	Fail
MAP3K14	HsaALTD0003746-2/2	206	0.00	Fail	0.00	Pass	11.40	Fail	0.00	Fail
TMEM132A	HsaALTD0006595-1/3	0	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
TMEM132A	HsaALTD0006595-2/3	6	100.00	Fail	25.00	Fail	100.00	Fail	0.00	Fail
TMEM132A	HsaALTD0006595-3/3	355	0.00	Fail	75.00	Fail	0.00	Fail	100.00	Fail
TMEM132A	HsaALTD0006596-1/2	0	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail
TMEM132A	HsaALTD0006596-2/2	35	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail
SPATA20	HsaALTD0006156-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
SPATA20	HsaALTD0006156-2/2	32	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
SPATA20	HsaALTD0006157-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
SPATA20	HsaALTD0006157-2/2	187	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CACNA1G	HsaALTD0001108-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CACNA1G	HsaALTD0001108-2/2	4	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CACNA1G	HsaALTD0001109-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CACNA1G	HsaALTD0001109-2/2	21	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CACNA1G	HsaALTD0001110-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CACNA1G	HsaALTD0001110-2/2	21	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ETV1	HsaALTD0002315-1/2	0	NA	Fail	100.00	Fail	NA	Fail	NA	Fail
ETV1	HsaALTD0002315-2/2	5	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
ETV1	HsaALTD0002316-1/2	0	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail
ETV1	HsaALTD0002316-2/2	1	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail
AGK	HsaALTD0000201-1/2	0	100.00	Pass	98.83	Pass	100.00	Pass	100.00	Pass
AGK	HsaALTD0000201-2/2	4	0.00	Pass	1.17	Pass	0.00	Pass	0.00	Pass
FARP2	HsaALTD0002476-1/2	0	0.00	Fail	15.77	Fail	1.56	Pass	10.56	Pass
FARP2	HsaALTD0002476-2/2	2	100.00	Fail	84.23	Fail	98.44	Pass	89.44	Pass
IFRD1	HsaALTD0003190-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
IFRD1	HsaALTD0003190-2/2	2	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
VPS41	HsaALTD0007148-1/3	0	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail
VPS41	HsaALTD0007148-2/3	38	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail
VPS41	HsaALTD0007148-3/3	69	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail
VPS41	HsaALTD0007149-1/2	0	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
VPS41	HsaALTD0007149-2/2	3	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
ELAC2	HsaALTD0002191-1/2	0	98.71	Pass	99.16	Pass	99.74	Pass	100.00	Pass
ELAC2	HsaALTD0002191-2/2	29	1.29	Pass	0.84	Pass	0.26	Pass	0.00	Pass
ELAC2	HsaALTD0002192-1/2	0	0.73	Pass	1.86	Pass	0.00	Pass	1.07	Pass
ELAC2	HsaALTD0002192-2/2	5	99.27	Pass	98.14	Pass	100.00	Pass	98.93	Pass
PNPLA4	HsaALTD0004906-1/2	0	50.00	Fail	20.00	Fail	44.44	Pass	36.17	Pass
PNPLA4	HsaALTD0004906-2/2	15	50.00	Fail	80.00	Fail	55.56	Pass	63.83	Pass
ADIPOR2	HsaALTD0000174-1/2	0	NA	Fail	NA	Fail	100.00	Fail	40.70	Fail
ADIPOR2	HsaALTD0000174-2/2	59	NA	Fail	NA	Fail	0.00	Fail	59.30	Fail
PRSS21	HsaALTD0005086-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PRSS21	HsaALTD0005086-2/2	136	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PRSS21	HsaALTD0005087-1/2	0	0.00	Fail	NA	Fail	NA	Fail	NA	Fail
PRSS21	HsaALTD0005087-2/2	42	100.00	Fail	NA	Fail	NA	Fail	NA	Fail
PROM1	HsaALTD0005066-1/2	0	NA	Fail	NA	Fail	50.00	Fail	100.00	Fail
PROM1	HsaALTD0005066-2/2	68	NA	Fail	NA	Fail	50.00	Fail	0.00	Fail
KIAA0100	HsaALTD0003422-1/2	0	0.00	Pass	0.54	Pass	0.20	Pass	0.24	Pass
KIAA0100	HsaALTD0003422-2/2	4	100.00	Pass	99.46	Pass	99.80	Pass	99.76	Pass
KIAA0100	HsaALTD0003423-1/2	0	0.21	Pass	0.25	Pass	1.83	Pass	1.31	Pass
KIAA0100	HsaALTD0003423-2/2	6	99.79	Pass	99.75	Pass	98.17	Pass	98.69	Pass
KIAA0100	HsaALTD0003424-1/2	0	1.04	Pass	0.23	Pass	0.00	Pass	0.00	Pass
KIAA0100	HsaALTD0003424-2/2	153	98.96	Pass	99.77	Pass	100.00	Pass	100.00	Pass
TRAPPC6A	HsaALTD0006763-1/2	0	75.00	Pass	64.58	Fail	30.43	Pass	22.22	Pass
TRAPPC6A	HsaALTD0006763-2/2	42	25.00	Pass	35.42	Fail	69.57	Pass	77.78	Pass
MATK	HsaALTD0003790-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MATK	HsaALTD0003790-2/2	9	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ST7L	HsaALTD0006247-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ST7L	HsaALTD0006247-2/2	200	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ST7L	HsaALTD0006248-1/2	0	100.00	Fail	96.73	Fail	100.00	Fail	100.00	Fail
ST7L	HsaALTD0006248-2/2	125	0.00	Fail	3.27	Fail	0.00	Fail	0.00	Fail
RPUSD1	HsaALTD0005605-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	2.27	Pass
RPUSD1	HsaALTD0005605-2/2	48	100.00	Pass	100.00	Pass	100.00	Pass	97.73	Pass
RHBDF1	HsaALTD0005393-1/2	0	1.03	Pass	0.67	Pass	0.00	Pass	0.00	Pass
RHBDF1	HsaALTD0005393-2/2	37	98.97	Pass	99.33	Pass	100.00	Pass	100.00	Pass
RHBDF1	HsaALTD0005394-1/2	0	0.28	Pass	1.20	Pass	0.00	Pass	0.00	Pass
RHBDF1	HsaALTD0005394-2/2	50	99.72	Pass	98.80	Pass	100.00	Pass	100.00	Pass
LUC7L	HsaALTD0003690-1/4	0	1.51	Pass	0.50	Pass	0.00	Pass	0.00	Pass
LUC7L	HsaALTD0003690-2/4	13	67.06	Pass	63.36	Pass	64.20	Pass	71.89	Pass
LUC7L	HsaALTD0003690-3/4	34	0.00	Pass	0.00	Pass	0.37	Pass	0.00	Pass
LUC7L	HsaALTD0003690-4/4	50	31.42	Pass	36.14	Pass	35.43	Pass	28.11	Pass
C16orf42	HsaALTD0000842-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
C16orf42	HsaALTD0000842-2/2	4	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
CRAMP1L	HsaALTD0001662-1/2	0	36.61	Pass	34.34	Pass	28.57	Pass	11.94	Pass
CRAMP1L	HsaALTD0001662-2/2	9	63.39	Pass	65.66	Pass	71.43	Pass	88.06	Pass
DNAJC11	HsaALTD0001974-1/2	0	100.00	Pass	100.00	Pass	98.43	Pass	98.45	Pass
DNAJC11	HsaALTD0001974-2/2	212	0.00	Pass	0.00	Pass	1.57	Pass	1.55	Pass
FMO3	HsaALTD0002615-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
FMO3	HsaALTD0002615-2/2	17	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MYLIP	HsaALTD0004121-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
MYLIP	HsaALTD0004121-2/2	53	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CAMK1G	HsaALTD0001129-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CAMK1G	HsaALTD0001129-2/2	160	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CDK11A	HsaALTD0001321-1/3	0	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail
CDK11A	HsaALTD0001321-2/3	1	11.71	Fail	NA	Fail	NA	Fail	51.47	Fail
CDK11A	HsaALTD0001321-3/3	31	88.29	Fail	NA	Fail	NA	Fail	48.53	Fail
CDK11A	HsaALTD0001322-1/2	0	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail
CDK11A	HsaALTD0001322-2/2	4	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail
CDK11A	HsaALTD0001323-1/2	0	100.00	Fail	NA	Fail	NA	Fail	NA	Fail
CDK11A	HsaALTD0001323-2/2	499	0.00	Fail	NA	Fail	NA	Fail	NA	Fail
NADK	HsaALTD0004158-1/2	0	21.91	Fail	50.86	Fail	29.08	Fail	54.38	Fail
NADK	HsaALTD0004158-2/2	1	78.09	Fail	49.14	Fail	70.92	Fail	45.62	Fail
NADK	HsaALTD0004159-1/2	0	100.00	Fail	0.00	Fail	100.00	Fail	80.00	Fail
NADK	HsaALTD0004159-2/2	40	0.00	Fail	100.00	Fail	0.00	Fail	20.00	Fail
CYTH3	HsaALTD0001782-1/2	0	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail
CYTH3	HsaALTD0001782-2/2	3	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail
ADAM22	HsaALTD0000148-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ADAM22	HsaALTD0000148-2/2	87	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SYPL1	HsaALTD0006339-1/2	0	50.00	Fail	36.36	Fail	100.00	Fail	77.78	Fail
SYPL1	HsaALTD0006339-2/2	16	50.00	Fail	63.64	Fail	0.00	Fail	22.22	Fail
CYB561	HsaALTD0001761-1/2	0	99.07	Pass	99.30	Pass	100.00	Fail	92.31	Fail
CYB561	HsaALTD0001761-2/2	47	0.93	Pass	0.70	Pass	0.00	Fail	7.69	Fail
SPAG9	HsaALTD0006150-1/2	0	1.43	Pass	12.84	Pass	0.44	Pass	1.05	Pass
SPAG9	HsaALTD0006150-2/2	16	98.57	Pass	87.16	Pass	99.56	Pass	98.95	Pass
AASS	HsaALTD0000016-1/2	0	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass
AASS	HsaALTD0000016-2/2	4	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass
MGST1	HsaALTD0003907-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
MGST1	HsaALTD0003907-2/2	8	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
NFIX	HsaALTD0004291-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
NFIX	HsaALTD0004291-2/2	4	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MMP25	HsaALTD0003965-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MMP25	HsaALTD0003965-2/2	1	NA	Fail	NA	Fail	NA	Fail	NA	Fail
IL32	HsaALTD0003237-1/2	0	82.08	Pass	86.40	Pass	90.29	Pass	91.69	Pass
IL32	HsaALTD0003237-2/2	23	17.92	Pass	13.60	Pass	9.71	Pass	8.31	Pass
PKD1	HsaALTD0004798-1/2	0	0.00	Fail	0.00	Fail	33.83	Fail	0.00	Fail
PKD1	HsaALTD0004798-2/2	4	100.00	Fail	100.00	Fail	66.17	Fail	100.00	Fail
PKD1	HsaALTD0004799-1/2	0	75.27	Pass	77.33	Pass	89.25	Pass	90.19	Pass
PKD1	HsaALTD0004799-2/2	13	24.73	Pass	22.67	Pass	10.75	Pass	9.81	Pass
PKD1	HsaALTD0004800-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
PKD1	HsaALTD0004800-2/2	13	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
HEATR5B	HsaALTD0002999-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
HEATR5B	HsaALTD0002999-2/2	126	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
CSDE1	HsaALTD0001691-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CSDE1	HsaALTD0001691-2/2	21	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
CSDE1	HsaALTD0001692-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CSDE1	HsaALTD0001692-2/2	153	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
CSDE1	HsaALTD0001693-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
