GENE	EVENT	LENGTH	SF3B1_mutated_sample_1_1	SF3B1_mutated_sample_1_1-Q	SF3B1_mutated_sample_2_1	SF3B1_mutated_sample_2_1-Q	SF3B1_mutated_sample_3_1	SF3B1_mutated_sample_3_1-Q	SF3B1_mutated_sample_4_1	SF3B1_mutated_sample_4_1-Q	SF3B1_mutated_sample_5_1	SF3B1_mutated_sample_5_1-Q	SF3B1_mutated_sample_6_1	SF3B1_mutated_sample_6_1-Q	SF3B1_mutated_sample_7_1	SF3B1_mutated_sample_7_1-Q	SF3B1_mutated_sample_8_1	SF3B1_mutated_sample_8_1-Q	SF3B1_wildtype_sample_1_1	SF3B1_wildtype_sample_1_1-Q	SF3B1_wildtype_sample_2_1	SF3B1_wildtype_sample_2_1-Q	SF3B1_wildtype_sample_3_1	SF3B1_wildtype_sample_3_1-Q	SF3B1_wildtype_sample_4_1	SF3B1_wildtype_sample_4_1-Q
RAD52	HsaALTD0005260-2/2	4	100.00	Fail	62.96	Fail	NA	Fail	85.36	Fail	100.00	Fail	77.27	Fail	100.00	Fail	93.15	Fail	NA	Fail	72.15	Fail	100.00	Fail	100.00	Fail
RAD52	HsaALTD0005261-1/2	0	78.95	Fail	100.00	Pass	73.91	Fail	96.15	Pass	100.00	Fail	94.00	Pass	75.00	Fail	89.13	Pass	NA	Fail	97.73	Pass	100.00	Pass	100.00	Fail
RAD52	HsaALTD0005261-2/2	20	21.05	Fail	0.00	Pass	26.09	Fail	3.85	Pass	0.00	Fail	6.00	Pass	25.00	Fail	10.87	Pass	NA	Fail	2.27	Pass	0.00	Pass	0.00	Fail
RAD52	HsaALTD0005262-1/2	0	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail
RAD52	HsaALTD0005262-2/2	78	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail
RAD52	HsaALTD0005263-1/2	0	80.41	Fail	100.00	Fail	25.09	Pass	92.80	Fail	66.15	Pass	79.21	Fail	94.94	Fail	81.74	Pass	NA	Fail	75.77	Fail	71.03	Pass	75.48	Pass
RAD52	HsaALTD0005263-2/2	55	19.59	Fail	0.00	Fail	74.91	Pass	7.20	Fail	33.85	Pass	20.79	Fail	5.06	Fail	18.26	Pass	NA	Fail	24.23	Fail	28.97	Pass	24.52	Pass
LAP3	HsaALTD0003551-1/2	0	100.00	Pass	99.87	Pass	100.00	Pass	100.00	Pass	100.00	Pass	99.79	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
LAP3	HsaALTD0003551-2/2	181	0.00	Pass	0.13	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.21	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
ABP1	HsaALTD0000050-1/2	0	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
ABP1	HsaALTD0000050-2/2	236	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail
LASP1	HsaALTD0003559-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
LASP1	HsaALTD0003559-2/2	11	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
TMEM176A	HsaALTD0006616-1/2	0	57.14	Fail	47.06	Fail	NA	Fail	54.17	Fail	100.00	Fail	0.00	Fail	45.83	Fail	66.67	Fail	0.00	Fail	NA	Fail	100.00	Fail	50.00	Fail
TMEM176A	HsaALTD0006616-2/2	140	42.86	Fail	52.94	Fail	NA	Fail	45.83	Fail	0.00	Fail	100.00	Fail	54.17	Fail	33.33	Fail	100.00	Fail	NA	Fail	0.00	Fail	50.00	Fail
TMEM176A	HsaALTD0006617-1/2	0	0.00	Fail	100.00	Pass	100.00	Fail	93.30	Pass	100.00	Fail	NA	Fail	92.95	Pass	100.00	Fail	100.00	Fail	NA	Fail	66.02	Fail	89.90	Pass
TMEM176A	HsaALTD0006617-2/2	13	100.00	Fail	0.00	Pass	0.00	Fail	6.70	Pass	0.00	Fail	NA	Fail	7.05	Pass	0.00	Fail	0.00	Fail	NA	Fail	33.98	Fail	10.10	Pass
M6PR	HsaALTD0003706-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	1.24	Pass	0.00	Pass
M6PR	HsaALTD0003706-2/2	74	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	98.76	Pass	100.00	Pass
ALS2	HsaALTD0000281-1/2	0	55.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Fail	81.82	Fail	100.00	Fail	100.00	Pass	NA	Fail	100.00	Fail	100.00	Pass	100.00	Fail
ALS2	HsaALTD0000281-2/2	132	45.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Fail	18.18	Fail	0.00	Fail	0.00	Pass	NA	Fail	0.00	Fail	0.00	Pass	0.00	Fail
TFPI	HsaALTD0006476-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
TFPI	HsaALTD0006476-2/2	116	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
C2orf56	HsaALTD0000974-1/2	0	0.00	Pass	1.59	Pass	0.00	Pass	0.00	Pass	5.26	Pass	3.70	Pass	4.76	Fail	1.47	Pass	NA	Fail	5.56	Pass	0.00	Pass	0.00	Fail
C2orf56	HsaALTD0000974-2/2	32	100.00	Pass	98.41	Pass	100.00	Pass	100.00	Pass	94.74	Pass	96.30	Pass	95.24	Fail	98.53	Pass	NA	Fail	94.44	Pass	100.00	Pass	100.00	Fail
C2orf56	HsaALTD0000975-1/2	0	66.67	Fail	39.29	Fail	70.77	Fail	20.00	Fail	27.59	Fail	16.67	Fail	40.00	Fail	56.35	Fail	0.00	Fail	31.25	Fail	50.00	Fail	23.08	Fail
C2orf56	HsaALTD0000975-2/2	154	33.33	Fail	60.71	Fail	29.23	Fail	80.00	Fail	72.41	Fail	83.33	Fail	60.00	Fail	43.65	Fail	100.00	Fail	68.75	Fail	50.00	Fail	76.92	Fail
RBM5	HsaALTD0005335-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	99.52	Pass	98.58	Pass	98.31	Pass	99.34	Pass	100.00	Fail	96.86	Pass	100.00	Pass	100.00	Pass
RBM5	HsaALTD0005335-2/2	28	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.48	Pass	1.42	Pass	1.69	Pass	0.66	Pass	0.00	Fail	3.14	Pass	0.00	Pass	0.00	Pass
RBM5	HsaALTD0005336-1/2	0	0.00	Pass	0.50	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
RBM5	HsaALTD0005336-2/2	4	100.00	Pass	99.50	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
RBM5	HsaALTD0005337-1/2	0	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail
RBM5	HsaALTD0005337-2/2	92	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
ARF5	HsaALTD0000425-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	99.75	Pass	99.54	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
ARF5	HsaALTD0000425-2/2	235	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.25	Pass	0.46	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
PLXND1	HsaALTD0004886-1/2	0	3.26	Pass	2.37	Pass	0.00	Pass	0.51	Pass	0.00	Pass	1.41	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
PLXND1	HsaALTD0004886-2/2	93	96.74	Pass	97.63	Pass	100.00	Pass	99.49	Pass	100.00	Pass	98.59	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
PLXND1	HsaALTD0004887-1/2	0	1.91	Pass	3.19	Pass	0.00	Pass	0.89	Pass	5.45	Pass	1.36	Pass	1.30	Pass	0.00	Pass	9.33	Pass	2.90	Pass	0.00	Pass	6.04	Pass
PLXND1	HsaALTD0004887-2/2	4	98.09	Pass	96.81	Pass	100.00	Pass	99.11	Pass	94.55	Pass	98.64	Pass	98.70	Pass	100.00	Pass	90.67	Pass	97.10	Pass	100.00	Pass	93.96	Pass
PLXND1	HsaALTD0004888-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
PLXND1	HsaALTD0004888-2/2	7	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CD38	HsaALTD0001271-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	10.26	Pass	0.00	Pass	0.00	Pass	1.45	Pass
CD38	HsaALTD0001271-2/2	18	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	89.74	Pass	100.00	Pass	100.00	Pass	98.55	Pass
