GENE	EVENT	LENGTH	SF3B1_mutated_sample_1_1	SF3B1_mutated_sample_1_1-Q	SF3B1_mutated_sample_2_1	SF3B1_mutated_sample_2_1-Q	SF3B1_mutated_sample_3_1	SF3B1_mutated_sample_3_1-Q	SF3B1_mutated_sample_4_1	SF3B1_mutated_sample_4_1-Q	SF3B1_mutated_sample_5_1	SF3B1_mutated_sample_5_1-Q	SF3B1_mutated_sample_6_1	SF3B1_mutated_sample_6_1-Q	SF3B1_mutated_sample_7_1	SF3B1_mutated_sample_7_1-Q	SF3B1_mutated_sample_8_1	SF3B1_mutated_sample_8_1-Q	SF3B1_wildtype_sample_1_1	SF3B1_wildtype_sample_1_1-Q	SF3B1_wildtype_sample_2_1	SF3B1_wildtype_sample_2_1-Q	SF3B1_wildtype_sample_3_1	SF3B1_wildtype_sample_3_1-Q	SF3B1_wildtype_sample_4_1	SF3B1_wildtype_sample_4_1-Q
TMEM33	HsaALTD0006636-1/2	0	100.00	Fail	66.67	Fail	61.11	Fail	87.50	Fail	71.43	Fail	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	33.33	Fail	33.33	Fail	33.33	Fail
TMEM33	HsaALTD0006636-2/2	48	0.00	Fail	33.33	Fail	38.89	Fail	12.50	Fail	28.57	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	66.67	Fail	66.67	Fail	66.67	Fail
GABRA4	HsaALTD0002687-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
GABRA4	HsaALTD0002687-2/2	68	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
OCIAD1	HsaALTD0004479-1/2	0	98.40	Pass	99.41	Pass	98.16	Pass	99.49	Pass	99.66	Pass	100.00	Pass	98.61	Pass	98.92	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
OCIAD1	HsaALTD0004479-2/2	79	1.60	Pass	0.59	Pass	1.84	Pass	0.51	Pass	0.34	Pass	0.00	Pass	1.39	Pass	1.08	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
OCIAD1	HsaALTD0004480-1/3	0	100.00	Pass	99.41	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	99.26	Pass	100.00	Pass	100.00	Pass
OCIAD1	HsaALTD0004480-2/3	1	0.00	Pass	0.59	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
OCIAD1	HsaALTD0004480-3/3	45	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.74	Pass	0.00	Pass	0.00	Pass
OCIAD1	HsaALTD0004481-1/2	0	100.00	Pass	99.46	Pass	98.48	Pass	98.90	Pass	99.07	Pass	100.00	Pass	98.16	Pass	99.42	Pass	98.48	Pass	98.78	Pass	100.00	Pass	100.00	Pass
OCIAD1	HsaALTD0004481-2/2	4	0.00	Pass	0.54	Pass	1.52	Pass	1.10	Pass	0.93	Pass	0.00	Pass	1.84	Pass	0.58	Pass	1.52	Pass	1.22	Pass	0.00	Pass	0.00	Pass
OCIAD1	HsaALTD0004482-1/5	0	19.30	Pass	3.52	Pass	1.71	Pass	2.85	Pass	3.62	Pass	3.61	Pass	5.41	Pass	3.92	Pass	9.23	Pass	13.00	Pass	10.81	Pass	12.82	Pass
OCIAD1	HsaALTD0004482-2/5	5	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	1.54	Pass	0.00	Pass	0.00	Pass	0.00	Pass
OCIAD1	HsaALTD0004482-3/5	35	7.02	Pass	0.00	Pass	0.00	Pass	1.43	Pass	0.72	Pass	0.00	Pass	8.11	Pass	0.00	Pass	0.00	Pass	2.00	Pass	0.00	Pass	0.00	Pass
OCIAD1	HsaALTD0004482-4/5	98	73.68	Pass	95.77	Pass	93.16	Pass	91.44	Pass	92.03	Pass	96.39	Pass	86.49	Pass	96.08	Pass	89.23	Pass	85.00	Pass	83.78	Pass	87.18	Pass
OCIAD1	HsaALTD0004482-5/5	133	0.00	Pass	0.70	Pass	5.13	Pass	4.28	Pass	3.62	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	5.41	Pass	0.00	Pass
UGT2B10	HsaALTD0007030-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
UGT2B10	HsaALTD0007030-2/2	252	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
USP46	HsaALTD0007084-1/2	0	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	NA	Fail	100.00	Pass	95.00	Fail	93.10	Pass
USP46	HsaALTD0007084-2/2	59	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	NA	Fail	0.00	Pass	5.00	Fail	6.90	Pass
CHIC2	HsaALTD0001422-1/2	0	0.00	Pass	20.75	Pass	0.00	Pass	11.63	Pass	11.63	Pass	5.13	Pass	10.81	Pass	6.25	Pass	0.00	Fail	0.00	Pass	2.94	Pass	10.34	Pass
CHIC2	HsaALTD0001422-2/2	84	100.00	Pass	79.25	Pass	100.00	Pass	88.37	Pass	88.37	Pass	94.87	Pass	89.19	Pass	93.75	Pass	100.00	Fail	100.00	Pass	97.06	Pass	89.66	Pass
UBE2D3	HsaALTD0006976-1/3	0	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail
UBE2D3	HsaALTD0006976-2/3	11	NA	Fail	100.00	Fail	100.00	Fail	0.00	Fail	0.00	Fail	45.45	Fail	NA	Fail	25.00	Fail	NA	Fail	0.00	Fail	NA	Fail	100.00	Fail
UBE2D3	HsaALTD0006976-3/3	27	NA	Fail	0.00	Fail	0.00	Fail	100.00	Fail	100.00	Fail	54.55	Fail	NA	Fail	75.00	Fail	NA	Fail	100.00	Fail	NA	Fail	0.00	Fail
MAPK10	HsaALTD0003756-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MAPK10	HsaALTD0003756-2/2	177	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MAPK10	HsaALTD0003757-1/3	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MAPK10	HsaALTD0003757-2/3	17	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MAPK10	HsaALTD0003757-3/3	27	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
NDUFC1	HsaALTD0004250-1/2	0	54.55	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	15.38	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
NDUFC1	HsaALTD0004250-2/2	362	45.45	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	84.62	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
ZNF330	HsaALTD0007423-1/4	0	0.00	Pass	3.53	Pass	4.17	Pass	5.89	Pass	5.41	Pass	7.08	Pass	3.57	Pass	5.29	Pass	9.30	Pass	5.50	Pass	20.00	Pass	11.30	Pass
ZNF330	HsaALTD0007423-2/4	38	0.00	Pass	0.00	Pass	0.00	Pass	0.91	Pass	2.03	Pass	2.76	Pass	0.71	Pass	2.12	Pass	0.00	Pass	6.19	Pass	2.96	Pass	9.57	Pass
ZNF330	HsaALTD0007423-3/4	61	3.33	Pass	1.57	Pass	4.17	Pass	4.84	Pass	16.89	Pass	0.92	Pass	6.43	Pass	4.76	Pass	13.95	Pass	9.63	Pass	0.00	Pass	7.83	Pass
ZNF330	HsaALTD0007423-4/4	92	96.67	Pass	94.90	Pass	91.67	Pass	88.36	Pass	75.68	Pass	89.24	Pass	89.29	Pass	87.83	Pass	76.74	Pass	78.68	Pass	77.04	Pass	71.30	Pass
ZNF330	HsaALTD0007424-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Fail
ZNF330	HsaALTD0007424-2/2	14	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Fail
INPP4B	HsaALTD0003268-1/2	0	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail
INPP4B	HsaALTD0003268-2/2	22	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail
CPE	HsaALTD0001628-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CPE	HsaALTD0001628-2/2	4	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
AADAT	HsaALTD0000004-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
AADAT	HsaALTD0000004-2/2	18	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
AADAT	HsaALTD0000005-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	100.00	Fail	NA	Fail
AADAT	HsaALTD0000005-2/2	18	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	0.00	Fail	NA	Fail
AADAT	HsaALTD0000006-1/2	0	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Pass	100.00	Pass	100.00	Fail
AADAT	HsaALTD0000006-2/2	12	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Pass	0.00	Pass	0.00	Fail
DHX15	HsaALTD0001919-1/2	0	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	66.67	Fail	100.00	Fail	100.00	Fail
DHX15	HsaALTD0001919-2/2	18	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	33.33	Fail	0.00	Fail	0.00	Fail
SEPSECS	HsaALTD0005776-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SEPSECS	HsaALTD0005776-2/2	118	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CPZ	HsaALTD0001660-1/3	0	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CPZ	HsaALTD0001661-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
CPZ	HsaALTD0001661-2/2	4	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TRIM2	HsaALTD0006770-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TRIM2	HsaALTD0006770-2/2	159	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
WHSC1	HsaALTD0007222-1/2	0	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
WHSC1	HsaALTD0007222-2/2	4	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
WHSC1	HsaALTD0007223-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail
WHSC1	HsaALTD0007223-2/2	133	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail
SH3D19	HsaALTD0005877-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail
SH3D19	HsaALTD0005877-2/2	9	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
TETRAN	HsaALTD0006464-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.56	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
TETRAN	HsaALTD0006464-2/2	23	100.00	Pass	100.00	Pass	100.00	Pass	99.44	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
RAPGEF2	HsaALTD0005295-1/2	0	100.00	Fail	18.18	Fail	90.16	Pass	72.73	Fail	80.65	Pass	86.36	Fail	60.00	Fail	90.63	Pass	NA	Fail	84.00	Pass	90.48	Pass	72.34	Pass
RAPGEF2	HsaALTD0005295-2/2	48	0.00	Fail	81.82	Fail	9.84	Pass	27.27	Fail	19.35	Pass	13.64	Fail	40.00	Fail	9.38	Pass	NA	Fail	16.00	Pass	9.52	Pass	27.66	Pass
SNX25	HsaALTD0006127-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SNX25	HsaALTD0006127-2/2	11	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SNX25	HsaALTD0006128-1/2	0	100.00	Fail	100.00	Fail	27.27	Fail	0.00	Fail	44.44	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
SNX25	HsaALTD0006128-2/2	46	0.00	Fail	0.00	Fail	72.73	Fail	100.00	Fail	55.56	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
SNX25	HsaALTD0006129-1/2	0	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SNX25	HsaALTD0006129-2/2	112	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
UFSP2	HsaALTD0007023-1/2	0	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Fail
UFSP2	HsaALTD0007023-2/2	5	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Fail
UFSP2	HsaALTD0007024-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Fail
UFSP2	HsaALTD0007024-2/2	25	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Fail
FAM149A	HsaALTD0002389-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
FAM149A	HsaALTD0002389-2/2	125	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
NCAPG	HsaALTD0004192-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	98.15	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	NA	Fail	95.00	Pass	97.55	Pass	98.15	Pass
NCAPG	HsaALTD0004192-2/2	6	0.00	Pass	0.00	Pass	0.00	Pass	1.85	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	NA	Fail	5.00	Pass	2.45	Pass	1.85	Pass
UGDH	HsaALTD0007025-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Fail
UGDH	HsaALTD0007025-2/2	4	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Fail
UGDH	HsaALTD0007026-1/2	0	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
UGDH	HsaALTD0007026-2/2	50	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
PPARGC1A	HsaALTD0004968-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
PPARGC1A	HsaALTD0004968-2/2	61	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
HTATIP2	HsaALTD0003145-1/2	0	57.14	Fail	100.00	Fail	9.52	Fail	64.29	Fail	40.00	Fail	25.00	Fail	55.56	Fail	40.00	Fail	NA	Fail	23.08	Fail	47.83	Fail	75.00	Fail
HTATIP2	HsaALTD0003145-2/2	49	42.86	Fail	0.00	Fail	90.48	Fail	35.71	Fail	60.00	Fail	75.00	Fail	44.44	Fail	60.00	Fail	NA	Fail	76.92	Fail	52.17	Fail	25.00	Fail
CTSC	HsaALTD0001732-1/3	0	0.00	Pass	9.06	Pass	0.00	Pass	0.06	Pass	0.00	Pass	0.31	Pass	0.44	Pass	0.49	Pass	0.00	Pass	0.31	Pass	0.42	Pass	0.98	Pass
CTSC	HsaALTD0001732-2/3	23	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.44	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.42	Pass	0.15	Pass
CTSC	HsaALTD0001732-3/3	62	100.00	Pass	90.94	Pass	100.00	Pass	99.94	Pass	100.00	Pass	99.69	Pass	99.11	Pass	99.51	Pass	100.00	Pass	99.69	Pass	99.16	Pass	98.87	Pass
ZNF259	HsaALTD0007398-1/2	0	2.71	Pass	3.64	Pass	20.51	Pass	2.69	Pass	0.67	Pass	4.55	Pass	5.73	Pass	6.35	Pass	0.00	Fail	5.00	Pass	21.05	Pass	2.23	Pass
ZNF259	HsaALTD0007398-2/2	4	97.29	Pass	96.36	Pass	79.49	Pass	97.31	Pass	99.33	Pass	95.45	Pass	94.27	Pass	93.65	Pass	100.00	Fail	95.00	Pass	78.95	Pass	97.77	Pass
MTCH2	HsaALTD0004066-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
MTCH2	HsaALTD0004066-2/2	4	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
FNBP4	HsaALTD0002632-1/2	0	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
FNBP4	HsaALTD0002632-2/2	15	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
SC5DL	HsaALTD0005679-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
SC5DL	HsaALTD0005679-2/2	9	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
DNAJC4	HsaALTD0001978-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	4.95	Pass	0.00	Pass	0.00	Pass	0.00	Pass
DNAJC4	HsaALTD0001978-2/2	61	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	95.05	Pass	100.00	Pass	100.00	Pass	100.00	Pass
ATG2A	HsaALTD0000543-1/2	0	100.00	Pass	84.21	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Fail
ATG2A	HsaALTD0000543-2/2	28	0.00	Pass	15.79	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Fail
ATG2A	HsaALTD0000544-1/2	0	34.00	Fail	60.71	Fail	0.00	Fail	37.54	Fail	75.56	Fail	34.00	Fail	29.18	Fail	77.00	Fail	100.00	Fail	37.06	Fail	21.94	Pass	40.72	Fail
ATG2A	HsaALTD0000544-2/2	6	66.00	Fail	39.29	Fail	100.00	Fail	62.46	Fail	24.44	Fail	66.00	Fail	70.82	Fail	23.00	Fail	0.00	Fail	62.94	Fail	78.06	Pass	59.28	Fail
EHD1	HsaALTD0002144-1/2	0	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
EHD1	HsaALTD0002144-2/2	10	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
FOXRED1	HsaALTD0002640-1/2	0	2.65	Pass	3.25	Pass	8.73	Pass	0.00	Pass	0.00	Pass	0.00	Pass	3.16	Pass	2.66	Pass	3.76	Pass	0.00	Pass	0.00	Pass	5.07	Pass
FOXRED1	HsaALTD0002640-2/2	48	97.35	Pass	96.75	Pass	91.27	Pass	100.00	Pass	100.00	Pass	100.00	Pass	96.84	Pass	97.34	Pass	96.24	Pass	100.00	Pass	100.00	Pass	94.93	Pass
PPP6R3	HsaALTD0005019-1/2	0	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	1.55	Pass	0.00	Pass	0.00	Fail	2.82	Pass	1.76	Pass	3.16	Pass
PPP6R3	HsaALTD0005019-2/2	86	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	98.45	Pass	100.00	Pass	100.00	Fail	97.18	Pass	98.24	Pass	96.84	Pass
NRXN2	HsaALTD0004398-1/2	0	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
NRXN2	HsaALTD0004398-2/2	21	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MS4A6A	HsaALTD0004051-1/2	0	5.81	Pass	5.31	Pass	2.02	Pass	2.14	Pass	0.93	Pass	3.27	Pass	5.56	Pass	6.38	Pass	6.33	Pass	8.33	Pass	8.60	Pass	2.14	Pass
MS4A6A	HsaALTD0004051-2/2	104	94.19	Pass	94.69	Pass	97.98	Pass	97.86	Pass	99.07	Pass	96.73	Pass	94.44	Pass	93.62	Pass	93.67	Pass	91.67	Pass	91.40	Pass	97.86	Pass
ST3GAL4	HsaALTD0006241-1/2	0	4.17	Pass	1.28	Pass	8.40	Pass	4.65	Pass	3.66	Pass	6.82	Pass	2.86	Pass	12.50	Pass	31.58	Fail	15.38	Pass	16.09	Pass	5.71	Pass
ST3GAL4	HsaALTD0006241-2/2	12	95.83	Pass	98.72	Pass	91.60	Pass	95.35	Pass	96.34	Pass	93.18	Pass	97.14	Pass	87.50	Pass	68.42	Fail	84.62	Pass	83.91	Pass	94.29	Pass
